origin,destination,type,price,duration
Istanbul,Liverpool,plane,300,5
Liverpool,Paris,train,90,7
Paris,Kiev,bus,40,10
Kiev,Budapest,plane,80,8
Budapest,Milan,train,120,11
Milan,Vienna,bus,50,9
London,Vienna,plane,400,3
London,Istanbul,plane,700,5
Istanbul,St. Petersburg,plane,500,4
St. Petersburg,London,train,100,12
Istanbul,Moscow,bus,150,8
Moscow,Berlin,train,200,10
Milan,Rome,bus,40,2
St. Petersburg,Berlin,plane,300,4
Milan,Berlin,train,90,6
Liverpool,Moscow,plane,900,6
Moscow,Rome,bus,10,20
Liverpool,Rome,plane,600,4
Paris,Madrid,train,50,9
Rome,Madrid,train,200,7
